[2025-11-28 12:08:52] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:30:34] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:31:41] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:31:45] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:31:47] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:09] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:12] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:15] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:17] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:25] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:49] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:32:51] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:33:14] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-28 12:33:16] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:41] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:44] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:46] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:47] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:52] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:54] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:32:56] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:33:04] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:33:28] PRIORITY:10 | MANUAL_EMERGENCY | Manual emergency triggered
[2025-11-29 01:33:31] PRIORITY:10 | MANUAL_EMERGENCY | Manual emergency triggered
[2025-11-29 01:34:16] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:34:19] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:34:57] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:36:15] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:36:46] PRIORITY:10 | MANUAL_EMERGENCY | Manual emergency triggered
[2025-11-29 01:36:48] PRIORITY:10 | MANUAL_EMERGENCY | Manual emergency triggered
[2025-11-29 01:36:51] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:40:33] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:40:35] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:40:38] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:40:44] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:41:24] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:41:25] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:41:27] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:41:31] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
[2025-11-29 01:41:43] PRIORITY:10 | FIST | Help! Emergency! Patient needs immediate assistance!
